시도교육청,지역교육청,지역,정보공시  학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,유초등부-유,유초등부-유-순회,유초등부-1학년,유초등부-2학년,유초등부-3학년,유초등부-4학년,유초등부-5학년,유초등부-6학년,유초등부-초-순회,유초등부-학급수(계),유초등부-학생수(계),유초등부-학급당학생수,중등부-1학년,중등부-2학년,중등부-3학년,중등부-순회,중등부-학급수(계),중등부-학생수(계),중등부-학급당학생수,고등부-1학년,고등부-2학년,고등부-3학년,고등부-순회,고등부-학급수(계),고등부-학생수(계),고등부-학급당학생수,전공과,학급수 총계,학생수 총계,학급당학생수
전라북도교육청,전라북도교육청,전라북도 군산시,S130001760,군산명화학교,5,공립,N,,1,0,1,1,1,2,1,1,0,8,43,5.38,2,2,3,1,8,45,5.63,2,2,3,1,8,45,5.63,4,28(2),158(2),5.64
전라북도교육청,전라북도교육청,전라북도 전주시 완산구,S130001761,동암차돌학교,5,사립,N,,0,0,2,1,1,1,1,1,0,7,33,4.71,2,2,1,0,5,25,5,2,2,3,2,9,42,4.67,1,22(2),108(4),4.91
전라북도교육청,전라북도교육청,전라북도 익산시,S130001763,전북맹아학교,5,사립,N,,1,0,1,1,1,1,1,1,0,7,25,3.57,1,1,2,0,4,15,3.75,1,1,1,0,3,18,6,4,18(0),75(0),4.17
전라북도교육청,전라북도교육청,전라북도 완주군,S130001764,전북푸른학교,5,사립,N,,0,0,1,2,2,1,1,1,0,8,42,5.25,2,2,2,1,7,37,5.29,2,1,2,0,5,30,6,2,22(1),126(4),5.73
전라북도교육청,전라북도교육청,전라북도 익산시,S130001765,전북혜화학교,5,사립,N,,1,0,2,1,1,2,2,2,0,11,40,3.64,2,2,1,0,5,23,4.6,2,3,3,0,8,47,5.88,2,26(0),125(0),4.81
전라북도교육청,전라북도교육청,전라북도 전주시 완산구,S130001766,전주선화학교,5,공립,N,,1,0,1,2,1,2,1,1,0,9,43,4.78,1,1,2,0,4,18,4.5,2,2,1,0,5,25,5,6,24(0),135(0),5.63
전라북도교육청,전라북도교육청,전라북도 전주시 덕진구,S130001767,전주유화학교,5,공립,N,,14,0,0,0,0,0,0,0,0,14,54,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14(0),54(0),3.86
전라북도교육청,전라북도교육청,전라북도 전주시 완산구,S130001768,전주은화학교,5,공립,N,,0,0,1,1,1,1,1,2,0,7,33,4.71,2,2,3,0,7,35,5,3,3,3,1,10,59,5.9,6,30(1),176(2),5.87
전라북도교육청,전라북도교육청,전라북도 남원시,S130002576,한울학교,5,공립,N,,0,0,1,1,1,1,1,1,0,6,14,2.33,1,1,2,0,4,15,3.75,2,2,1,0,5,26,5.2,2,17(0),72(0),4.24
전라북도교육청,전라북도교육청,전라북도 정읍시,S130002577,다솜학교,5,공립,N,,0,0,1,1,1,1,1,1,0,6,13,2.17,1,1,1,0,3,17,5.67,3,2,2,0,7,34,4.86,2,18(0),80(0),4.44
