시도교육청,지역교육청,지역,정보공시  학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,1학년,2학년,3학년,4학년,5학년,6학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수
서울특별시교육청,서울특별시교육청,서울특별시 종로구,S010005841,서울다솜관광고등학교,10,공립,N,,2,2,2,,,,0,0,6(0),119(0),19.83
서울특별시교육청,서울특별시교육청,서울특별시 서초구,S010006026,서초문화예술정보학교,10,공립,N,,0,0,10,,,,0,0,10(0),181(0),18.1
서울특별시교육청,서울특별시교육청,서울특별시 은평구,S010006027,은평문화예술정보학교,10,공립,N,,0,0,9,,,,0,0,9(0),163(0),18.11
서울특별시교육청,서울특별시교육청,서울특별시 종로구,S010006333,오디세이학교,10,공립,N,,5,0,0,,,,0,0,5(0),73(0),14.6
서울특별시교육청,서울특별시교육청,서울특별시 금천구,S010006380,금천문화예술정보학교,10,공립,N,,0,0,10,,,,0,0,10(0),156(0),15.6
서울특별시교육청,서울특별시남부교육지원청,서울특별시 구로구,S010005864,지구촌학교,19,사립,N,,1,1,1,1,1,1,0,0,6(0),58(0),9.67
부산광역시교육청,부산광역시교육청,부산광역시 동구,S020000436,부산국제영화고등학교,8,사립,N,,3,3,3,,,,0,0,9(0),130(0),14.44
부산광역시교육청,부산광역시북부교육지원청,부산광역시 강서구,S020002292,송정중학교,9,공립,N,,2,2,2,,,,0,0,6(0),48(0),8
부산광역시교육청,부산광역시교육청,부산광역시 사상구,S020000451,부산산업학교,10,공립,N,,0,0,12,,,,0,0,12(0),138(0),11.5
대구광역시교육청,대구광역시교육청,대구광역시 달서구,S030001639,경북기계공업고등학교부설대구문화예술산업학교,10,공립,Y,"위탁교육기관으로 학생수는 원적교에서 입력함. 편성학과는 무대·영상 예술과 2학급, 디자인문화콘텐츠과 2학급, 뷰티디자인과 2학급, 조리아트과 2학급으로 총 8학급 운영",,,,,,,,,(),(),
대구광역시교육청,대구광역시교육청,대구광역시 달서구,S030002092,대구예담학교,10,공립,Y,"본교는 위탁교육을 하는 학교로 학생수는 원적교에서 공시하므로 학생수는 0명이고, 편성학급은 3학년 8학급(미술과정 3, 클래식과정 1, 뮤지컬과정 1, 실용음악과정 3)임.",,,,,,,,,(),(),
인천광역시교육청,인천광역시교육청,인천광역시 남구,S040001382,한진고등기술학교,8,사립,N,,3,0,0,,,,0,0,3(0),120(0),40
인천광역시교육청,인천광역시교육청,인천광역시 동구,S040000307,인천산업정보학교,10,공립,N,,0,0,11,,,,0,0,11(0),192(0),17.45
인천광역시교육청,인천광역시교육청,인천광역시 남동구,S040002166,인천한누리학교,10,공립,Y,본교는 위탁교육기관이므로 제외처리함.,,,,,,,,,(),(),
인천광역시교육청,인천광역시교육청,인천광역시 남동구,S040002179,인천해밀학교,10,공립,Y,위탁기관,,,,,,,,,(),(),
인천광역시교육청,인천광역시교육청,인천광역시 연수구,S040002181,인천청담고등학교,10,사립,N,,1,1,1,,,,0,0,3(0),43(0),14.33
광주광역시교육청,광주광역시교육청,광주광역시 북구,S050000644,금호미용예술학교,8,사립,N,,1,0,0,,,,0,0,1(0),21(0),21
광주광역시교육청,광주광역시서부교육지원청,광주광역시 남구,S050001099,호남삼육중학교,9,사립,N,,4,4,4,,,,0,0,12(0),377(0),31.42
광주광역시교육청,광주광역시서부교육지원청,광주광역시 서구,S050001434,월광기독학교,19,사립,N,,2,2,2,2,2,2,0,0,12(0),215(0),17.92
대전광역시교육청,대전광역시교육청,대전광역시 서구,S060001323,새소리음악중학교,9,사립,N,,1,1,1,,,,0,0,3(0),31(0),10.33
대전광역시교육청,대전광역시교육청,대전광역시 서구,S060000154,대전산업정보고등학교,10,공립,N,,0,2,2,,,,0,0,4(0),50(0),12.5
대전광역시교육청,대전광역시교육청,대전광역시 서구,S060001253,새소리음악고등학교,10,사립,N,,1,1,1,,,,0,0,3(0),68(0),22.67
울산광역시교육청,울산광역시강남교육지원청,울산광역시 울주군,S070000760,울산고운중학교,9,공립,N,,1,1,1,,,,0,0,3(0),6(0),2
울산광역시교육청,울산광역시교육청,울산광역시 울주군,S070000756,울산두남중고등학교,10,공립,N,,1,1,1,,,,0,0,3(0),11(0),3.67
경기도교육청,경기도광주하남교육지원청,경기도 하남시,S090004463,동성고등공민학교,7,사립,N,,1,1,1,,,,0,0,3(0),31(0),10.33
경기도교육청,경기도구리남양주교육지원청,경기도 구리시,S090004471,서울삼육중학교,9,사립,N,,7,7,7,,,,0,0,21(0),678(0),32.29
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090005829,티엘비유글로벌학교(중),9,사립,N,,1,1,1,,,,0,0,3(0),47(0),15.67
경기도교육청,경기도성남교육지원청,경기도 성남시 분당구,S090006508,계원예술중학교,9,사립,N,,4,4,4,,,,0,0,12(0),422(0),35.17
경기도교육청,경기도동두천양주교육지원청,경기도 양주시,S090006641,쉐마기독학교(중),9,사립,N,,2,2,2,,,,0,0,6(0),75(0),12.5
경기도교육청,경기도이천교육지원청,경기도 이천시,S090006848,경기새울학교,9,공립,N,,1,1,1,,,,0,0,3(0),8(0),2.67
경기도교육청,경기도고양교육지원청,경기도 고양시 일산서구,S090007013,광성드림학교,9,사립,N,,2,2,2,,,,0,0,6(0),110(0),18.33
